Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,"Stat Type"
"Gardner Minshew",WSU,662,468,70.7,"4,776",7.2,38,5.7,9,1.4,89t,13,75,147.5,Passing
"Dwayne Haskins",OSU,532,372,69.9,"4,753",8.9,49,9.2,8,1.5,75t,20,104,172.4,Passing
"Kyler Murray",OKLA,377,260,69.0,"4,361",11.6,42,11.1,7,1.9,86t,18,109,199.2,Passing
"Taylor Cornelius",OKST,485,288,59.4,"3,978",8.2,32,6.6,13,2.7,64t,32,223,144.7,Passing
"Tua Tagovailoa",ALA,355,245,69.0,"3,966",11.2,43,12.1,6,1.7,81t,13,110,199.4,Passing
"Ryan Finley",NCST,484,326,67.4,"3,928",8.1,25,5.2,11,2.3,74t,11,72,148.0,Passing
"Jordan Ta'amu",MISS,418,266,63.6,"3,918",9.4,19,4.5,8,1.9,84t,28,176,153.5,Passing
"Cole McDonald",HAW,484,285,58.9,"3,875",8.0,36,7.4,10,2.1,80t,34,221,146.6,Passing
"Will Grier",WVU,397,266,67.0,"3,864",9.7,37,9.3,8,2.0,82t,24,165,175.5,Passing
"Mason Fine",UNT,469,303,64.6,"3,793",8.1,27,5.8,5,1.1,68t,23,178,149.4,Passing
"David Blough",PUR,462,305,66.0,"3,705",8.0,25,5.4,10,2.2,82t,28,174,146.9,Passing
"Brett Rypien",BSU,447,301,67.3,"3,705",8.3,30,6.7,7,1.6,74t,32,183,156.0,Passing
"Marcus McMaryion",FRES,427,293,68.6,"3,629",8.5,25,5.9,5,1.2,86t,13,69,157.0,Passing
"Jordan Love",USU,417,267,64.0,"3,567",8.6,32,7.7,6,1.4,88t,9,63,158.3,Passing
"Brent Stockstill",MTSU,464,326,70.3,"3,544",7.6,29,6.2,10,2.2,70t,40,247,150.7,Passing
"K.J. Costello",STAN,413,269,65.1,"3,540",8.6,29,7.0,11,2.7,80t,23,143,155.0,Passing
"Drew Lock",MIZZ,437,275,62.9,"3,498",8.0,28,6.4,8,1.8,86t,13,98,147.7,Passing
"Justice Hansen",ARST,434,286,65.9,"3,447",7.9,27,6.2,9,2.1,78t,23,141,149.0,Passing
"Ty Gangi",NEV,443,268,60.5,"3,331",7.5,24,5.4,13,2.9,58t,11,68,135.7,Passing
"Brady White",MEM,392,246,62.8,"3,296",8.4,26,6.6,9,2.3,75t,25,152,150.7,Passing
"Sam Ehlinger",TEX,425,275,64.7,"3,292",7.7,25,5.9,5,1.2,48t,25,193,146.8,Passing
"Trevor Lawrence",CLEM,398,259,65.1,"3,280",8.2,30,7.5,4,1.0,74t,12,75,157.2,Passing
"Jake Browning",WASH,388,252,64.9,"3,192",8.2,16,4.1,10,2.6,59,23,162,142.5,Passing
"Clayton Thorson",NW,490,299,61.0,"3,183",6.5,17,3.5,15,3.1,77t,35,246,120.9,Passing
"Jake Bentley",SCAR,389,240,61.7,"3,171",8.2,27,6.9,14,3.6,89,21,133,145.9,Passing
"J'mar Smith",LT,461,264,57.3,"3,160",6.9,15,3.3,10,2.2,67t,32,189,121.2,Passing
"Justin Herbert",ORE,404,240,59.4,"3,151",7.8,29,7.2,8,2.0,83t,21,143,144.7,Passing
"Tyree Jackson",BUFF,407,225,55.3,"3,131",7.7,28,6.9,12,2.9,75t,15,89,136.7,Passing
"Kyle Shurmur",VAN,406,254,62.6,"3,130",7.7,24,5.9,6,1.5,75t,21,161,143.9,Passing
"Kellen Mond",TAMU,415,238,57.3,"3,107",7.5,24,5.8,9,2.2,69,34,217,135.0,Passing
"Stephen Calvert",LIB,439,240,54.7,"3,068",7.0,21,4.8,18,4.1,62,20,147,121.0,Passing
"Manny Wilkins",AZST,393,247,62.8,"3,025",7.7,20,5.1,6,1.5,72,16,90,141.2,Passing
"Charlie Brewer",BAY,390,240,61.5,"3,019",7.7,19,4.9,9,2.3,75t,32,198,138.0,Passing
"Blake LaRussa",ODU,393,249,63.4,"3,014",7.7,19,4.8,10,2.5,83t,29,183,138.6,Passing
"D'Eriq King",HOU,345,219,63.5,"2,982",8.6,36,10.4,6,1.7,79t,14,80,167.0,Passing
"Joe Burrow",LSU,379,219,57.8,"2,894",7.6,16,4.2,5,1.3,71t,35,190,133.2,Passing
"Peyton Ramsey",IND,447,295,66.0,"2,875",6.4,19,4.3,13,2.9,65t,27,159,128.2,Passing
"Caleb Evans",ULM,374,231,61.8,"2,869",7.7,16,4.3,12,3.2,80t,21,130,133.9,Passing
"Eric Dungey",SYR,371,226,60.9,"2,868",7.7,18,4.9,9,2.4,82t,25,162,137.0,Passing
"Nathan Stanley",IOWA,396,235,59.3,"2,852",7.2,26,6.6,10,2.5,75t,15,93,136.5,Passing
