Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,"Stat Type"
"Darrell Henderson",MEM,214,"1,966",57,"1,909",8.92,82t,22,Rushing
"Michael Warren II",CINN,244,"1,347",18,"1,329",5.45,81t,19,Rushing
"Greg McCrae",UCF,133,"1,196",14,"1,182",8.89,74t,10,Rushing
"Darius Bradwell",TULN,201,"1,174",40,"1,134",5.64,73t,11,Rushing
"David Pindell",CONN,213,"1,321",187,"1,134",5.32,75t,10,Rushing
"Patrick Taylor Jr.",MEM,208,"1,189",67,"1,122",5.39,70t,16,Rushing
"Jordan Cronkrite",USF,184,"1,149",28,"1,121",6.09,80t,9,Rushing
"Ryquell Armstead",TEM,210,"1,163",65,"1,098",5.23,75t,13,Rushing
"Malcolm Perry",NAVY,172,"1,172",85,"1,087",6.32,75t,7,Rushing
"Kevin Mensah",CONN,225,"1,107",65,"1,042",4.63,68,6,Rushing
"Shamari Brooks",TULS,229,"1,018",51,967,4.22,37,7,Rushing
"Patrick Carr",HOU,152,893,25,868,5.71,39,5,Rushing
"Corey Taylor II",TULS,178,869,23,846,4.75,48,11,Rushing
"Johnny Ford",USF,116,817,26,791,6.82,78,8,Rushing
"Corey Dauphine",TULN,123,795,17,778,6.33,69t,7,Rushing
"Adrian Killins",UCF,147,747,32,715,4.86,26,4,Rushing
"D'Eriq King",HOU,111,784,110,674,6.07,64,14,Rushing
"Holton Ahlers",ECU,119,718,126,592,4.97,53,6,Rushing
"Braeden West",SMU,138,624,35,589,4.27,51t,6,Rushing
"Desmond Ridder",CINN,149,799,216,583,3.91,41,5,Rushing
"Tony Pollard",MEM,78,558,6,552,7.08,41t,6,Rushing
"Tavion Thomas",CINN,89,500,1,499,5.61,28,6,Rushing
"Charles McClelland",CINN,63,495,10,485,7.70,55t,4,Rushing
"Taj McGowan",UCF,71,473,3,470,6.62,71t,8,Rushing
"Anthony Gargiulo",NAVY,98,427,0,427,4.36,22,0,Rushing
"Nelson Smith",NAVY,78,417,6,411,5.27,45,3,Rushing
"Anthony Scott",ECU,103,437,32,405,3.93,53,3,Rushing
"Tre Walker",NAVY,45,368,20,348,7.73,46,1,Rushing
"Ke'Mon Freeman",SMU,75,353,14,339,4.52,44,6,Rushing
"Darriel Mack Jr.",UCF,69,425,88,337,4.88,70t,6,Rushing
"Mulbah Car",HOU,66,334,9,325,4.92,25,2,Rushing
"Xavier Jones",SMU,69,326,15,311,4.51,52t,2,Rushing
"Blake Barnett",USF,107,471,162,309,2.89,39,8,Rushing
"McKenzie Milton",UCF,79,388,81,307,3.89,23t,9,Rushing
"Zach Abey",NAVY,125,388,82,306,2.45,15,14,Rushing
"Stephon Huderson",TULN,68,286,5,281,4.13,30,0,Rushing
"Otis Anderson",UCF,51,285,10,275,5.39,30t,4,Rushing
"Rob Ritrovato",TEM,69,278,8,270,3.91,20,4,Rushing
"Garret Lewis",NAVY,87,326,60,266,3.06,28,5,Rushing
"Jager Gardner",TEM,65,280,27,253,3.89,26t,1,Rushing
"Justin McMillan",TULN,60,341,93,248,4.13,39t,5,Rushing
"Terence Williams",HOU,52,252,8,244,4.69,31t,1,Rushing
"Hussein Howe",ECU,70,288,52,236,3.37,23,0,Rushing
"Darius Pinnix",ECU,56,235,13,222,3.96,48t,3,Rushing
"Amare Jones",TULN,47,230,14,216,4.60,33,4,Rushing
"Mike Martin",NAVY,38,211,0,211,5.55,33t,2,Rushing
"Zavier Scott",CONN,34,202,8,194,5.71,39,0,Rushing
"CJ Williams",NAVY,22,185,2,183,8.32,52t,1,Rushing
"Tazh Maloy",NAVY,32,194,15,179,5.59,32t,2,Rushing
"Javon Thomas",TULS,29,183,9,174,6.00,47,0,Rushing
"Trace Christian",ECU,38,167,5,162,4.26,26,1,Rushing
"Luke Skipper",TULS,50,245,92,153,3.06,25,1,Rushing
"Bentavious Thompson",UCF,29,150,0,150,5.17,15,0,Rushing
"Kevrin Justice",HOU,24,149,0,149,6.21,20,1,Rushing
"Duran Bell Jr.",USF,28,156,8,148,5.29,16,1,Rushing
"Chandler Smith",HOU,30,143,4,139,4.63,19,2,Rushing
"Marquez Stevenson",HOU,14,153,27,126,9.00,60,2,Rushing
"Hayden Moore",CINN,24,155,31,124,5.17,20,2,Rushing
"Jonathan Banks",TULN,78,298,178,120,1.54,25,2,Rushing
"Kelan Walker",HOU,12,112,0,112,9.33,72t,1,Rushing
"Myles Fells",NAVY,8,108,0,108,13.50,52t,2,Rushing
"Keylon Stokes",TULS,15,117,13,104,6.93,26,2,Rushing
"William Brown",SMU,35,134,35,99,2.83,25,0,Rushing
"T.K. Wilkerson",TULS,6,95,0,95,15.83,79,0,Rushing
"Kenny Gainwell",MEM,4,91,0,91,22.75,72t,1,Rushing
"Isaiah Wright",TEM,19,93,9,84,4.42,18t,1,Rushing
"Calvin Austin III",MEM,1,83,0,83,83.00,83t,1,Rushing
"Todd Centeio",TEM,20,96,14,82,4.10,21,1,Rushing
"Jeremy Jennings",TEM,14,85,6,79,5.64,43,0,Rushing
"Bryson Smith",HOU,19,103,29,74,3.89,33,0,Rushing
"Seth Boomer",TULS,58,230,159,71,1.22,30,1,Rushing
"Taylor Boose",CINN,7,69,3,66,9.43,49,0,Rushing
"Anthony Russo",TEM,43,144,81,63,1.47,16,3,Rushing
"Timothy Taylor",MEM,14,64,2,62,4.43,17,0,Rushing
"Terren Encalade",TULN,5,58,2,56,11.20,38,0,Rushing
"Merek Pierce",SMU,11,57,1,56,5.09,14,0,Rushing
"Clayton Tune",HOU,41,184,131,53,1.29,21,1,Rushing
"Tyre McCants",USF,8,53,1,52,6.50,13,0,Rushing
"Elijah Mack",USF,14,52,3,49,3.50,10,0,Rushing
"Tyliek Raynor",TEM,12,52,4,48,4.00,15t,1,Rushing
"Marquavius Weaver",MEM,8,51,3,48,6.00,32,0,Rushing
"Keoni-Kordell Makekau",NAVY,9,52,5,47,5.22,21,0,Rushing
"Jonny Forrest",TEM,9,41,1,40,4.44,14,0,Rushing
"John Williams",MEM,4,40,0,40,10.00,19,0,Rushing
"Trevon Sands",USF,10,37,2,35,3.50,14,0,Rushing
"Grant Stuard",HOU,5,38,3,35,7.00,18,0,Rushing
"Jared Miles",SMU,2,32,0,32,16.00,20t,1,Rushing
"Brady McBride",MEM,7,35,4,31,4.43,17,0,Rushing
"Sam Craft",MEM,1,28,0,28,28.00,28t,1,Rushing
"Shaun Bradley",TEM,3,28,1,27,9.00,28,0,Rushing
"Michael Kopaygorodsky",CINN,5,27,1,26,5.20,14,0,Rushing
"Cameron Fleming",MEM,7,25,0,25,3.57,13,0,Rushing
"Marlon Williams",UCF,5,27,2,25,5.00,11,0,Rushing
"Dante Black",CONN,11,28,5,23,2.09,9,0,Rushing
"Tyreek King-El",NAVY,3,22,0,22,7.33,11,0,Rushing
"David Small",USF,5,22,1,21,4.20,7,0,Rushing
"Marvin Washington",CONN,10,30,9,21,2.10,8,0,Rushing
"Chris Oladokun",USF,25,75,56,19,0.76,22,0,Rushing
"Jadan Blue",TEM,3,18,0,18,6.00,7,0,Rushing
"J.R. Griffin",SMU,5,17,0,17,3.40,9,1,Rushing
